Issue Type,Summary,Description,Priority,Status,Work Item ID,Parent,Epic Name,Epic Link,Assignee,Reporter,Labels,Labels2,Component,Component2,Story Points,Squad Owner,Acceptance Criteria,Comment
"Sub-task","[TASK] S1-E1-H2-T1 Coletar latencia por estagio","Medir extracao, pre-proc, modelo e pos-proc com trace por request.","Medium","To Do","2007","2006","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","backend.dev@empresa.com","pm.lead@empresa.com","backend","metrics","monitoring","","2","Backend","Metricas por etapa publicadas; p95 calculado; alerta para SLA de demo configurado.",""
"Sub-task","[TASK] S1-E1-H2-T2 Rodar avaliacao de relevancia RAG","Executar avaliacao no holdout e consolidar score final da sprint.","Medium","To Do","2008","2006","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","ai.orchestrator@empresa.com","pm.lead@empresa.com","ai","evaluation","rag","","2","AI-Orchestrator","Relatorio de relevancia publicado; score >=85% ou plano de melhoria aberto; evidencias anexadas.",""
"Epic","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","Entregar funcionalidades sociais com foco em reproducibilidade de projetos e governanca tecnica.","High","To Do","3001","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","","","pm.lead@empresa.com","mvp","sprint-1","social","governance","13","Backend+Frontend","Fluxo de fork com lineage ativo; upvote unico por usuario; log de dificuldades operacional.",""
"Story","[STORY] S1-E2-H1 Feed de inovacoes com filtros","Exibir feed por categoria com paginacao e indicadores de engajamento.","High","To Do","3002","3001","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","frontend.dev@empresa.com","pm.lead@empresa.com","feed","frontend","web","ui","5","Frontend+Backend","Filtros 3D Printing/Robotics/IoT/Woodworking funcionando; endpoint paginado; telemetria de uso ativa.",""
"Sub-task","[TASK] S1-E2-H1-T1 Endpoint feed filtravel","Criar endpoint com filtros por categoria, ordenacao e pagina.","High","To Do","3003","3002","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","backend.dev@empresa.com","pm.lead@empresa.com","backend","api","feed","","2","Backend","Endpoint responde em formato padrao; validacao de query params; testes de contrato aprovados.",""
"Sub-task","[TASK] S1-E2-H1-T2 UI de filtros e cards","Implementar filtros no frontend e cards com metadados de projeto.","Medium","To Do","3004","3002","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","frontend.dev@empresa.com","pm.lead@empresa.com","frontend","ui","feed","","3","Frontend","UI responsiva; estados de loading/erro; integracao completa com endpoint filtravel.",""
"Story","[STORY] S1-E2-H2 Fork lineage e log de dificuldades","Permitir fork com rastreabilidade de origem e registro de dificuldades tecnicas.","High","To Do","3005","3001","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","backend.dev@empresa.com","pm.lead@empresa.com","fork","governance","database","api","5","Backend","projects.parent_project_id aplicado; lineage consultavel; log de dificuldades persistido por projeto.",""
"Sub-task","[TASK] S1-E2-H2-T1 Persistir lineage de fork","Modelar e expor relacionamento pai-filho no dominio de projetos.","High","To Do","3006","3005","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","backend.dev@empresa.com","pm.lead@empresa.com","backend","fork","mysql","","2","Backend","Criacao de fork salva parent_project_id; consulta de arvore funciona; indice de banco criado.",""
"Sub-task","[TASK] S1-E2-H2-T2 Tela de log de dificuldades","Criar formulario e timeline de dificuldades por projeto.","Medium","To Do","3007","3005","","[EPIC] S1-E2 Repositorio Social e Rastreabilidade","frontend.dev@empresa.com","pm.lead@empresa.com","frontend","ux","project-log","","3","Frontend","Usuario registra dificuldade com timestamp; timeline ordenada; permissao de edicao respeitada.",""
"Epic","[EPIC] S2-E1 Exportacao PDF auditavel","Gerar documentacao tecnica assincrona com status e historico de exportacao por projeto.","Highest","To Do","4001","","[EPIC] S2-E1 Exportacao PDF auditavel","","","pm.lead@empresa.com","mvp","sprint-2","pdf","worker","18","Backend+Frontend+PDF-Automation","Fluxo queued/processing/done/failed ativo; PDF com requisitos SW/HW e BOM; historico de exportacao disponivel.",""
"Story","[STORY] S2-E1-H1 Worker de geracao PDF","Implementar worker para montar documento tecnico e atualizar status de processamento.","Highest","To Do","4002","4001","","[EPIC] S2-E1 Exportacao PDF auditavel","pdf.automation@empresa.com","pm.lead@empresa.com","pdf","worker","render","storage","8","Backend+PDF-Automation","Worker processa fila com retry; PDF inclui evidencias RAG; status atualizado em tempo real.",""
"Sub-task","[TASK] S2-E1-H1-T1 Job queue de exportacao","Criar fila de exportacao com retries e DLQ para falhas.","High","To Do","4003","4002","","[EPIC] S2-E1 Exportacao PDF auditavel","backend.dev@empresa.com","pm.lead@empresa.com","backend","queue","worker","","3","Backend","Jobs enfileirados com idempotencia; retry configurado; DLQ monitoravel.",""
"Sub-task","[TASK] S2-E1-H1-T2 Template PDF com trilha de validacao","Incluir requisitos SW/HW, BOM e bloco de validacao no template final.","High","To Do","4004","4002","","[EPIC] S2-E1 Exportacao PDF auditavel","pdf.automation@empresa.com","pm.lead@empresa.com","pdf","documentation","worker","","3","PDF-Automation","PDF contem secoes obrigatorias; metadados de validacao presentes; layout aprovado para demo.",""
"Story","[STORY] S2-E1-H2 Historico de exportacao e monitoramento","Exibir historico por projeto e indicadores de sucesso/falha por export.","High","To Do","4005","4001","","[EPIC] S2-E1 Exportacao PDF auditavel","frontend.dev@empresa.com","pm.lead@empresa.com","frontend","monitoring","web","ui","5","Frontend+Backend","Tela mostra status e timestamps; filtros por estado; erro detalhado para exports failed.",""
"Sub-task","[TASK] S2-E1-H2-T1 Endpoint historico de exportacao","Expor endpoint para listagem paginada de exports por projeto.","Medium","To Do","4006","4005","","[EPIC] S2-E1 Exportacao PDF auditavel","backend.dev@empresa.com","pm.lead@empresa.com","backend","api","exports","","2","Backend","Endpoint paginado com filtros de status; ordenacao por data; autorizacao aplicada.",""
"Sub-task","[TASK] S2-E1-H2-T2 Tela de status e historico","Implementar interface para acompanhar ciclo de vida da exportacao.","Medium","To Do","4007","4005","","[EPIC] S2-E1 Exportacao PDF auditavel","frontend.dev@empresa.com","pm.lead@empresa.com","frontend","sprint-2","web","ui","3","Frontend","Lista com polling/controlado; badge de status; acesso ao PDF final quando done.",""
